CRN,Subject,Number,Title,Section,Type,Term,Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,E,F,Average
30094,CS,100,Freshman Orientation,AL1,LEC,120148,"Pitt, Leonard B",0,232,11,3,11,3,2,6,1,0,2,1,9,1,3.7
35886,CS,101,Intro Computing: Engrg & Sci,AYA,LBD,120148,"Gambill, Thomas N",3,3,2,4,6,3,2,3,4,0,1,0,5,1,2.47
35889,CS,101,Intro Computing: Engrg & Sci,AYB,LBD,120148,"Gambill, Thomas N",2,6,5,5,3,5,4,3,0,3,0,1,2,0,2.8
35890,CS,101,Intro Computing: Engrg & Sci,AYC,LBD,120148,"Gambill, Thomas N",3,4,3,2,7,1,4,3,3,1,1,2,1,0,2.67
35893,CS,101,Intro Computing: Engrg & Sci,AYD,LBD,120148,"Gambill, Thomas N",2,3,7,6,1,3,5,2,3,1,1,0,3,1,2.69
61077,CS,101,Intro Computing: Engrg & Sci,AYE,LBD,120148,"Gambill, Thomas N",2,1,2,2,3,10,4,5,3,2,0,1,4,0,2.29
35915,CS,101,Intro Computing: Engrg & Sci,AYF,LBD,120148,"Gambill, Thomas N",6,4,2,5,4,8,5,0,2,1,1,2,1,0,2.83
35896,CS,101,Intro Computing: Engrg & Sci,AYG,LBD,120148,"Gambill, Thomas N",4,3,6,2,7,3,3,2,2,1,0,0,2,0,2.9
35899,CS,101,Intro Computing: Engrg & Sci,AYH,LBD,120148,"Gambill, Thomas N",5,2,4,2,3,4,2,2,2,2,4,1,2,0,2.52
35902,CS,101,Intro Computing: Engrg & Sci,AYI,LBD,120148,"Gambill, Thomas N",2,4,5,4,2,3,3,3,2,5,1,1,2,0,2.55
35907,CS,101,Intro Computing: Engrg & Sci,AYJ,LBD,120148,"Gambill, Thomas N",8,3,6,4,1,3,0,2,4,2,2,0,1,0,2.94
35918,CS,101,Intro Computing: Engrg & Sci,AYK,LBD,120148,"Gambill, Thomas N",7,1,2,6,3,3,4,3,1,1,1,1,4,0,2.6
61078,CS,101,Intro Computing: Engrg & Sci,AYL,LBD,120148,"Gambill, Thomas N",3,1,2,8,6,3,4,2,3,3,1,1,1,0,2.63
35910,CS,101,Intro Computing: Engrg & Sci,AYM,LBD,120148,"Gambill, Thomas N",2,2,3,3,6,2,4,6,3,2,1,1,2,0,2.46
35913,CS,101,Intro Computing: Engrg & Sci,AYN,LBD,120148,"Gambill, Thomas N",4,7,3,3,6,3,2,3,1,1,1,1,2,0,2.87
62682,CS,101,Intro Computing: Engrg & Sci,AYO,LBD,120148,"Gambill, Thomas N",4,4,3,4,4,3,4,4,1,1,0,0,6,1,2.54
62683,CS,101,Intro Computing: Engrg & Sci,AYP,LBD,120148,"Gambill, Thomas N",3,0,2,3,7,4,3,3,1,5,1,0,6,1,2.19
62913,CS,101,Intro Computing: Engrg & Sci,AYQ,LBD,120148,"Gambill, Thomas N",13,1,3,0,6,3,1,2,2,1,3,0,2,1,2.89
62914,CS,101,Intro Computing: Engrg & Sci,AYR,LBD,120148,"Gambill, Thomas N",6,2,4,3,3,2,3,0,2,3,1,1,4,0,2.56
47174,CS,105,Intro Computing: Non-Tech,AYA,LBD,120148,"Fagen, Wade A",1,4,11,5,8,5,2,2,1,0,0,0,0,0,3.2
35827,CS,105,Intro Computing: Non-Tech,AYB,LBD,120148,"Fagen, Wade A",4,10,4,7,5,0,1,2,0,0,1,1,0,0,3.34
