CRN,Subject,Number,Title,Section,Type,Term,Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,E,F,Average
57523,CS,460,Security Laboratory,R3,LEC,120141,"Bambenek, John C",0,13,2,5,0,1,0,1,0,0,0,0,1,0,3.52
50112,CS,460,Security Laboratory,S3,LEC,120141,"Bambenek, John C",1,16,2,1,0,0,0,1,0,0,0,0,0,1,3.85
57997,CS,460,Security Laboratory,T3,LEC,120141,"Bambenek, John C",0,11,1,3,1,1,0,2,0,0,0,0,2,0,3.19
48198,CS,461,Computer Security I,IA3,LCD,120141,"Bobba, Rakesh",8,10,8,9,22,11,7,6,9,0,1,0,1,0,2.96
48205,CS,463,Computer Security II,P3,LCD,120141,"Gunter, Carl",0,18,0,0,16,0,0,3,0,0,0,0,0,1,3.43
54552,CS,466,Introduction to Bioinformatics,B3,LCD,120141,"Sinha, Saurabh",3,13,9,5,5,6,0,0,0,0,0,0,1,0,3.47
56868,CS,467,Social Visualization,SV3,LCD,120141,"Karahalios, Kyratso G",11,26,31,10,8,1,0,3,0,0,0,0,1,0,3.61
31457,CS,473,Fundamental Algorithms,AL1,LEC,120141,"Chekuri, Chandra S",7,25,20,25,19,16,16,21,7,4,1,3,6,0,2.85
60443,CS,484,Parallel Programming,PP3,LEC,120141,"Padua, David A",0,4,1,0,7,0,0,7,0,0,3,0,0,0,2.64
31260,CS,493,"Senior Project II, ACP",CS,LCD,120141,"Woodley, Michael J",18,14,18,9,0,0,0,0,0,0,0,0,0,0,3.8
60162,CS,498,Algorithms and Models of Comp,374,LCD,120141,"Pitt, Leonard B",0,3,6,4,4,2,3,4,1,5,3,0,1,2,2.53
31601,CS,498,Cloud Computing,CC3,LEC,120141,"Campbell, R H",19,30,20,10,10,2,0,0,0,0,0,0,0,0,3.72
59208,CS,498,Using Tech to Solve Adv Probs,U,LCD,120141,"Clifton, Rhiannon L",0,11,5,2,3,0,1,0,0,0,0,0,0,0,3.65
31602,CS,511,Advanced Data Management,P,LCD,120141,"Chang, Kevin C",7,13,18,2,3,2,1,0,1,0,0,0,0,0,3.64
31604,CS,512,Data Mining Principles,F,LCD,120141,"Han, Jiawei",10,34,11,5,5,1,1,3,1,0,0,0,0,0,3.67
46186,CS,525,Advanced Distributed Systems,S,LEC,120141,"Gupta, Indranil",11,18,16,6,1,0,0,0,0,0,0,0,0,0,3.8
31610,CS,533,Parallel Computer Architecture,S,LCD,120141,"Torrellas, Josep",6,10,0,3,4,0,0,0,0,0,0,0,0,0,3.74
57440,CS,544,Optimiz in Computer Vision,CV,LCD,120141,"Forsyth, David A",0,29,0,2,0,0,0,0,0,0,0,0,0,0,3.96
48178,CS,546,Machine Learning in NLP,S,LEC,120141,"Hockenmaier, Julia C",0,13,7,2,2,1,1,0,0,0,0,0,0,0,3.67
50117,CS,555,Numerical Methods for PDEs,N,LEC,120141,"Olson, Luke",1,22,4,3,0,0,0,0,1,0,0,0,0,1,3.82
46236,CS,565,Human-Computer Interaction,S,LEC,120141,"Bailey, Brian P",0,21,3,0,0,0,0,1,0,0,0,0,0,0,3.88
60442,CS,574,Randomized Algorithms,RA,LEC,120141,"Har-Peled, Sariel",0,3,10,3,5,2,0,0,0,0,0,0,0,1,3.44
60197,CS,598,Special Topics,SVA,LCD,120141,"Adve, Sarita V",14,3,1,0,2,1,0,0,0,0,0,0,0,0,3.83
