CRN,Subject,Number,Title,Section,Type,Term,Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,E,F,Average
30759,CS,101,Intro Computing: Engrg & Sci,AY1,LBD,120145,"Gambill, Thomas N",9,4,0,0,3,3,0,0,0,0,0,2,0,0,3.35
36797,CS,173,Discrete Structures,AD1,DIS,120145,"Wang, Yipu",8,10,11,9,10,7,3,1,1,2,1,2,0,2,3.18
30770,CS,225,Data Structures,AL1,LEC,120145,"Geigle, Chase A",3,16,5,8,13,3,3,10,1,4,2,1,2,6,2.88
37387,CS,357,Numerical Methods I,M,,120145,"Gambill, Thomas N",6,8,9,7,2,1,0,0,1,0,0,0,0,0,3.61
37808,CS,410,Text Information Systems,T3,LCD,120145,"Massung, Sean A",0,13,2,1,4,2,1,0,0,0,0,0,0,0,3.59
30792,CS,421,Progrmg Languages & Compilers,P3,LCD,120145,"Mechitov, Kirill A",3,3,3,1,3,4,0,3,1,0,0,0,0,0,3.13
