CRN,Subject,Number,Title,Section,Type,Term,Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,E,F,Average
30759,CS,101,Intro Computing: Engrg & Sci,AY2,LBD,120135,"Gambill, Thomas N",1,7,2,5,4,3,6,2,1,3,1,1,1,0,2.74
36797,CS,173,Discrete Structures,AD1,DIS,120135,"Evans, Graham C",4,8,7,8,6,11,2,5,5,0,1,1,2,1,2.87
30770,CS,225,Data Structures,AL1,LEC,120135,"Massung, Sean A",3,12,4,6,7,5,5,1,4,3,2,2,2,2,2.8
37387,CS,357,Numerical Methods I,M,LCD,120135,"Gambill, Thomas N",12,10,15,4,4,1,3,1,1,0,0,0,0,1,3.56
34776,CS,373,Theory of Computation,AL1,LEC,120135,"Di Febo, Joseph",5,16,3,3,4,2,2,3,3,1,0,0,0,0,3.32
30792,CS,421,Progrmg Languages & Compilers,P3,LCD,120135,"Mansky, William E",5,5,4,3,9,0,1,4,0,1,1,0,1,2,3.09
