CRN,Subject,Number,Title,Section,Type,Term,Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,E,F,Average
31427,CS,450,Numerical Analysis,B3,LCD,120131,"Hirani, Anil N",1,16,4,7,11,1,5,20,3,0,4,0,8,1,2.6
48198,CS,461,Computer Security I,IA3,LCD,120131,"Nicol, David M",4,5,16,10,23,5,10,5,2,0,2,0,0,0,3.05
48205,CS,463,Computer Security II,P3,LCD,120131,"Gunter, Carl",0,15,0,0,8,0,0,6,0,0,3,0,1,0,3.06
43587,CS,465,User Interface Design,M3,LCD,120131,"Fu, Wai-Tat",5,13,13,13,19,6,3,4,0,0,4,0,1,0,3.16
54552,CS,466,Introduction to Bioinformatics,B3,LCD,120131,"Sinha, Saurabh",3,9,3,3,8,3,2,2,1,0,1,0,1,0,3.15
56868,CS,467,Social Visualization,SV3,LCD,120131,"Karahalios, Kyratso G",13,27,15,4,0,0,0,0,0,0,0,0,2,0,3.76
31457,CS,473,Fundamental Algorithms,AL1,LEC,120131,"Har-Peled, Sariel",1,5,5,4,10,7,8,8,7,0,2,1,2,1,2.56
31552,CS,473,Fundamental Algorithms,AL2,LEC,120131,"Kolla, Alexandra",2,3,3,6,5,7,9,11,6,3,1,0,0,0,2.55
31260,CS,493,"Senior Project II, ACP",CS,LCD,120131,"Woodley, Michael J",0,17,5,5,1,0,0,0,0,0,0,0,1,0,3.66
31601,CS,498,Cloud Computing,CC3,LEC,120131,"Campbell, R H",6,27,9,12,7,12,7,4,2,0,1,0,0,0,3.33
56907,CS,498,Intro to Parallel Programming,DP3,LEC,120131,"Padua, David A",0,6,0,4,7,0,2,7,1,0,1,2,0,0,2.75
58505,CS,498,Art and Science of Web Progrm,SK3,LEC,120131,"King, Samuel T",0,22,6,1,3,1,0,0,3,0,0,0,0,0,3.59
31604,CS,512,Data Mining Principles,F,LCD,120131,"Han, Jiawei",10,34,20,6,2,1,3,0,0,0,0,0,1,0,3.7
46186,CS,525,Advanced Distributed Systems,S,LEC,120131,"Gupta, Indranil",5,7,12,2,0,0,0,0,0,0,0,0,0,0,3.8
58500,CS,528,Obj-Oriented Progrmg & Design,OPD,LEC,120131,"Johnson, Ralph E",0,29,0,0,12,0,0,0,0,0,0,0,0,0,3.71
31610,CS,533,Parallel Computer Architecture,S,LCD,120131,"Torrellas, Josep",6,9,3,0,8,0,0,0,0,0,0,0,0,0,3.65
50117,CS,555,Numerical Methods for PDEs,N,LEC,120131,"Olson, Luke",0,21,3,6,1,5,0,1,0,0,0,0,0,0,3.6
46236,CS,565,Human-Computer Interaction,S,LEC,120131,"Bailey, Brian P",1,7,10,4,7,0,0,3,0,0,0,0,1,0,3.3
